title,description,Brand,imageName,Tags,price,Variation,subcategory,category
EXXUS PLUS VV BATTERY,"
                Exxus Plus VV BatteryExxus Slim VV is a variable voltage device, so the output voltage can be tweaked to hit anywhere between 2.6V and 4V. With a ten second heat up interval, this device is perfect for creating quick, satisfying sessions. If you want a minimalist vape that still functions better than off the shelf cartridges then this will take care of you

Exxus Plus VV Battery Features:


 Variable voltage one-button vapeUSB chargerClick 3x to change voltage 2.6-4vHold button to hitCompatible with oil vape cartridges (cartridge not included)Colors: Blue, Green, White, Gunmetal, Rainbow, and Stainless


 

 
                              ","BRAND:
EXXUS",EXXUS PLUS VV BATTERY.png,CBD BATTERY,"$5.00,$5.00,$5.00,$5.00,$5.00,$5.00,$5.00,$5.00,$5.00","BLACK,COSMIC BLACK,COSMIC BLUE,COSMIC GREEN,GUNMETAL,PEARL,RAINBOW,SILVER,WHITE",CARTRIDGE BATTERIES,BATTERIES & CHARGER
GLUU TWIST VARIABLE BATTERY SPLATTER EDDITON ,"
                GLUU TWIST VARIABLE BATTERY SPLATTER EDDITON Forget all vape pens you've smoked before...the Gluu Slim Pen Twist battery blows all other vaporizers out of the water! Featuring the new preheat mode (15 seconds of continuous heating without holding the button) and adjustable temperature settings, the Slim Pen Twist Battery is perfect for anyone just starting to use cartridges or your everyday veteran. Compatible with all oil, concentrate, and essential oil cartridges with a 510 thread, and voltage settings range from 3.3V to 4.8V.  FEATURESOoze 320 mAh BatteryPreheat modeAdjustable Voltage: 3.3V - 4.8V15 Seconds Hold TimeFits all 510 Thread USB Smart ChargerSmart USB Rapid Charge Auto Safety Shut off Preserves Battery Cells 
                              ","BRAND:
GLUU",GLUU TWIST VARIABLE BATTERY SPLATTER EDDITON .png,,"$7.00,$7.00,$7.00,$7.00,$7.00","BLACK GREEN SPLATTER,BLACK RED SPLATTER,BLACK WHITE SPLATTER,WHITE GREEN SPLATTER,WHITE RED SPLATTER",CARTRIDGE BATTERIES,BATTERIES & CHARGER
YOCAN UNI PRO BOX MOD,"
                 The Yocan UNI is an innovative VV Box MOD with small and discreet appearance. Working with built-in 650mAh battery and adjustable three levels voltage indicator light, the Yocan UNI MOD can bring you stable vaping experience. The mainly distinctive feature of the UNI is that it comes with the adjustable knobs located just right beneath the lips of the cartridge chamber. You don't have to worry if the atomizer is too tall or too short. The UNI will let you adjust the height of any oil atomizer.Plus the adjustable atomizer holder fitting different diameters, the Yocan UNI MOD is incredibly the world's first MOD that is universal for any types of oil cartridge. To provide you with an incredible experience, the UNI has a built-in preheat function that warms up your oils before the first use. Rapidly clicking the power button two times will put the device in preheat mode for 10s. To deactivate the preheating function, simply press the power button 2 times again.YOCAN UNI PRO BOX MOD Features:Crisp OLED Display 10-Second Pre-Heat  15-Second Shut-Off Precise Voltage Settings Additional Buttons Sharper and Edgier Look Level Window Micro USB Charging 650mAh Battery CapacityPackage Includes:1x Yocan Uni Universal 510 Thread Box Mod1x Magnetic adapter1x Micro USB Cable1x Instruction ManualWARNING: Please have a great understanding and technical knowledge on how to use this product in order to properly use it. There is always an inherent risk when using any rechargeable batteries at anytime and under any circumstances. SunshineNovelty.com and any of SunshineNovelty.com’s parent and subsidiary companies are not held responsible for any damage for any modification of the batteries, chargers, devices and other products that we carry in any form or shape, this is including pack making.SunshineNovelty.com and any or all of SunshineNovelty.com’s parent and subsidiary companies will not be held responsible or liable for any injury, damage, or defect, permanent or temporary that may be caused by the improper use of a Li-ion (Lithium-ion), LiPo (Lithium-ion Polymer) and any rechargeable battery and/or batteries as well as chargers. Please have a greater understanding of the batteries and/or chargers you are using and how to care for them properly. 
                              ","BRAND:
YOCAN",YOCAN UNI PRO BOX MOD.png,"BOX MOD,YOCAN,UNI PRO,CARTRIDGE BATTERY,OIL ATOMIZER","$14.00,$14.00,$14.00,$14.00,$14.00,$14.00","AIR BLUE,BLACK,DARK CHAMPAGNE,RED,SILVER,WHITE",CARTRIDGE BATTERIES,BATTERIES & CHARGER
EXXUS MICARE DEVICE ,"
                EXXUS MICARE DEVICE Enjoy unmatched sessions with the help of the Exxus Micare by Exxus Vape Powered by SMOK. Delivering an abundance of goods, Exxus Vape and SMOK have become your renowned, one stop shop for your vaporizer needs. Features:Incorporating auto draw functionality, LED light indicators, haptic feedback, preheat functionality and 700mAh battery this incredible device is far above the restEXXUS MICARE DEVICE Colors:Rainbow Cobra, Black Cobra, Black White Splatter, Black Green Splatter, Black Red Spatter and Black Rainbow Spatter

                              ","BRAND:
EXXUS",EXXUS MICARE DEVICE .png,NEW,"$17.00,$17.00,$17.00,$17.00,$17.00,$17.00","BLACK COBRA,FULL COLOR COBRA,GREEN SPATTER,RED SPATTER,RETRO SPATTER,WHITE SPATTER",CARTRIDGE BATTERIES,BATTERIES & CHARGER
AIRIS JANUS 2-IN-1 VAPORIZER VAPE BATTERY ,"
                AIRIS JANUS 2-IN-1 VAPORIZER VAPE BATTERY Airistech Airis Janus 650mAh Variable Voltage 2in1 CE3 Cartridge & Pod Compatible Vaporizer Mod  The Airistech Janus is a 2-in-1 vaporizer mod for both pods and CE3 510 cartridges. The Janus is powered by a 650mAh built-in battery.AIRIS JANUS 2-IN-1 VAPORIZER VAPE BATTERY Features:Compatible for Pod Cartidges & CE3 510 Thread Cartridges (not included)Battery Type: Built-In 650mAhVoltage Output Range: 3.4V - 4.2VAIRIS JANUS 2-IN-1 VAPORIZER VAPE BATTERY Package Includes:1 x 650mAh Battery1 x USB Cable
                              ","BRAND:
AIRIS",AIRIS JANUS 2-IN-1 VAPORIZER VAPE BATTERY .png,"AIRIS JANUS,VAPE BATTERY,510 BATTERY","$9.00,$9.00,$9.00,$9.00,$9.00,$9.00,$9.00,$9.00","BLACK,BLUE,GOLD,GREY,PURPLE,RAINBOW,RED,STAINLESS STEEL",CARTRIDGE BATTERIES,BATTERIES & CHARGER
GLUU TWIST VARIABLE BATTERY ,"
                GLUU TWIST VARIABLE BATTERY Forget all vape pens you've smoked before...the Gluu Slim Pen Twist battery blows all other vaporizers out of the water! Featuring the new preheat mode (15 seconds of continuous heating without holding the button) and adjustable temperature settings, the Slim Pen Twist Battery is perfect for anyone just starting to use cartridges or your everyday veteran. Compatible with all oil, concentrate, and essential oil cartridges with a 510 thread, and voltage settings range from 3.3V to 4.8V.  FEATURESOoze 320 mAh BatteryPreheat modeAdjustable Voltage: 3.3V - 4.8V15 Seconds Hold TimeFits all 510 Thread USB Smart ChargerSmart USB Rapid Charge Auto Safety Shut off Preserves Battery Cells 
                              ","BRAND:
GLUU",GLUU TWIST VARIABLE BATTERY .png,,"$6.00,$6.00,$6.00,$6.00,$6.00,$6.00","BLACK,BLUE,CHROME,GOLD,RAINBOW,RED",CARTRIDGE BATTERIES,BATTERIES & CHARGER
WULF UNI KIT ,"
                Wulf Uni KitThe Wulf Uni by Wulf Mods powered by Yocan. This one of a kind, contemporary portable mod is sure to elevate your oil cartridge experience, delivering smooth and refreshing draws. The UNI includes a 510-thread adapter that allows an atomizer to be inserted and locked in for protection and optimal performance. The side of the device has a level window, so you won’t have to wonder when to refill. Measuring at 75.3mm x 33.9mm, the UNI is small, compact unit perfect for discreet use. In the box you will find one battery, one charging cable, one user manual and one magnetic adapter.Wulf Uni Kit Features:
 · Battery Type: Built-In 650mAh· Adjustable Height· Adjustable Width· Preheat Function· Magnetic Connector· Pass Through Charging· Level Window
Wulf Uni Kit Include










 · 1 x UNI Mod· 1 x Magnetic Adapters· 1 x Charging Cable· 1 x User ManualWARNING: Please have a great understanding and technical
knowledge on how to use this product in order to properly use it. There is
always an inherent risk when using any rechargeable batteries at anytime and
under any circumstances. SunshineNovelty.com and any of SunshineNovelty.com’s
parent and subsidiary companies are not held responsible for any damage for any
modification of the batteries, chargers, devices and other products that we
carry in any form or shape, this is including pack making. 



SunshineNovelty.com and any or all of SunshineNovelty.com’s
parent and subsidiary companies will not be held responsible or liable for any
injury, damage, or defect, permanent or temporary that may be caused by the
improper use of a Li-ion (Lithium-ion), LiPo (Lithium-ion Polymer) and any
rechargeable battery and/or batteries as well as chargers. Please have a
greater understanding of the batteries and/or chargers you are using and how to
care for them properly.

                              ","BRAND:
WULF",WULF UNI KIT .png,"WULF UNI,KIT,ADJUSTABLE,CARTRIDGE","$13.00,$13.00,$13.00,$13.00,$13.00,$13.00,$13.00,$13.00,$13.00,$13.00","BLACK GREEN SPLATTER,BLACK RED SPLATTER,GREEN SPLATTER,PINK BLACK SPLATTER,PURPLE BLACK SPLATTER,RED RUM,RED SPLATTER,WHITE BLACK SPLATTER,WHITE RED SPLATTER,WHITE SPLATTER",CARTRIDGE BATTERIES,BATTERIES & CHARGER
EXXUS PUSH KIT ,"
                Exxus Push KitThe Exxus PUSH Vaporizer is an impressively designed variable voltage outputting 500mAh battery, featuring a 4 level output, 17s preheating function, and is features an 11.5mm diameter recessed 510 connection that can accommodate a majority of the cartridges available on the market today. Clocking in at 500mAh, the battery of the Exxus PUSH battery provides a 15W output but operates on a direct voltage based output. With 4 different power levels, the PUSH battery is great for a multitude of cartridges on the market.Exxus Push Kit Features:
 Dimensions - 80mm by 40mm by 22mmIntegrated 500mAh Rechargeable BatteryMax. Wattage Output: 15WDirect Voltage Based Output4 Power Levels - 2.8V, 3.2V, 3.7V, 4.2V17s Preheating FunctionZinc-Alloy Chassis ConstructionSingle Button OperationLED Battery Life Indicator LightTank Hole: 11.5mmThreaded Magnetic 510 Connection RingsReset SwitchNo Power ProtectionShort-Circuit ProtectionNo Atomizer ProtectionAdjustable Recessed 510 ConnectionIntegrated MicroUSB Cable
Exxus Push Kit Include
 1 Exxus PUSH Concentrate Vaporizer2 Magnetic Connection Ring1 Lanyard













 
                              ","BRAND:
EXXUS",EXXUS PUSH KIT .png,EXXUS PUSH KIT,"$23.00,$23.00,$23.00,$23.00","BLACK,GREEN SPLATTER,RAINBOW,WHITE SPLATTER",CARTRIDGE BATTERIES,BATTERIES & CHARGER
EXXUS UNI BY WULF,"
                Exxus Uni By WulfAdjustable Cartridge Vaporizer 650mAh Battery Capacity Variable Voltage System The Wulf UNI Coming in three different color options, the Wulf UNI by Wulf Mods Powered by Yocan is a stand out device that you will not want to miss. The Wulf Uni features a battery light indicator, power button, micro USB port, level window and powerful 650mAh box mod. This box mod employs a built-in preheat function that warms up your oils before use. To activate, click the power button two times. To deactivate, simply press the power button two times rapidly. Additionally, the Wulf Uni incorporates three voltage settings for a more precise vaping experience. After turning on the device press the power button three times quickly to adjust the voltage level. One light indicates low voltage, two lights indicate middle voltage, and three light indicates high voltage.Exxus Uni By Wulf Colors:Green Splash, White Splash, Red Splash, Red Rum, White Red Splatter, White Black Splatter, Teal Black Splatter
Exxus Uni By Wulf Include










 1  Battery1  Magnetic Adapters1  Charging Cable1  User ManualWARNING: Please have a great understanding and technical
knowledge on how to use this product in order to properly use it. There is
always an inherent risk when using any rechargeable batteries at anytime and
under any circumstances. SunshineNovelty.com and any of SunshineNovelty.com’s
parent and subsidiary companies are not held responsible for any damage for any
modification of the batteries, chargers, devices and other products that we
carry in any form or shape, this is including pack making.

 

SunshineNovelty.com and any or all of SunshineNovelty.com’s
parent and subsidiary companies will not be held responsible or liable for any
injury, damage, or defect, permanent or temporary that may be caused by the
improper use of a Li-ion (Lithium-ion), LiPo (Lithium-ion Polymer) and any
rechargeable battery and/or batteries as well as chargers. Please have a
greater understanding of the batteries and/or chargers you are using and how to
care for them properly.

                              ","BRAND:
EXXUS",EXXUS UNI BY WULF.png,EXXUS UNI BY WULF,"$13.00,$13.00,$13.00,$13.00,$13.00,$13.00,$13.00","GREEN SPLASH,RED RUM,RED SPLASH,TEAL BLACK SPLATTER,WHITE BLACK SPLATTER,WHITE RED SPLATTER,WHITE SPLASH",CARTRIDGE BATTERIES,BATTERIES & CHARGER
DAZZVAPE U-KEY II BATTERY SPECIAL EDITION,"
                 Combining the exquisite u-shaped appearance and a comfortable handheld feeling perfectly, the U-Key II Special Edition from DAZZ-Vape is a portable device that is suitable for both indoor and outdoor use in 2019. The replacement atomizer system that it is equipped with can easily be used with 0.5mL or 1mL cartridges, although they are not included. The small size, light-weight and long battery life ensures that you can use it whenever and wherever. Do you dream of having one of the most stylish CBD batteries in the market? Then the U-Key II Special Edition device may be the best choice for you!DAZZVAPE U-KEY II BATTERY SPECIAL EDITION FEATURES:Dimensions: 35mm x 21mm x 68mmBattery Capacity: 350mAhVoltage: 2.8V / 3.2V / 3.6V / 4.0VResistance: 1.0-3.0 OhmsMaterial: Zinc Alloy, ABS Material, Litchi Grain LeatherDAZZVAPE U-KEY II BATTERY SPECIAL EDITION INCLUDES:1 x U-KEY II Box Battery - Special Edition1 x USB Cable1 x User Manual
                              ","BRAND:
DAZZVAPE",DAZZVAPE U-KEY II BATTERY SPECIAL EDITION.png,,"$10.00,$10.00,$10.00,$10.00,$10.00","BLACK,BLUE,GREY,RED,WHITE",CARTRIDGE BATTERIES,BATTERIES & CHARGER
